,y,Close-0,Close-1,Close-2,Close-3,Close-4,Close-5,Close-6,Close-7,Close-8,Close-9
6279,1,254.6262,253.473,253.8998,251.5025,252.3652,250.7307,248.9146,249.296,248.733,248.279
6280,1,256.6966,254.6262,253.473,253.8998,251.5025,252.3652,250.7307,248.9146,249.296,248.733
6281,0,257.2414,256.6966,254.6262,253.473,253.8998,251.5025,252.3652,250.7307,248.9146,249.296
6282,1,257.1415,257.2414,256.6966,254.6262,253.473,253.8998,251.5025,252.3652,250.7307,248.9146
6283,1,257.2505,257.1415,257.2414,256.6966,254.6262,253.473,253.8998,251.5025,252.3652,250.7307
6284,0,260.2289,257.2505,257.1415,257.2414,256.6966,254.6262,253.473,253.8998,251.5025,252.3652
6285,0,258.5036,260.2289,257.2505,257.1415,257.2414,256.6966,254.6262,253.473,253.8998,251.5025
6286,1,255.8521,258.5036,260.2289,257.2505,257.1415,257.2414,256.6966,254.6262,253.473,253.8998
6287,0,255.9792,255.8521,258.5036,260.2289,257.2505,257.1415,257.2414,256.6966,254.6262,253.473
6288,0,255.6887,255.9792,255.8521,258.5036,260.2289,257.2505,257.1415,257.2414,256.6966,254.6262
6289,0,250.1223,255.6887,255.9792,255.8521,258.5036,260.2289,257.2505,257.1415,257.2414,256.6966
6290,1,239.6616,250.1223,255.6887,255.9792,255.8521,258.5036,260.2289,257.2505,257.1415,257.2414
6291,0,244.3834,239.6616,250.1223,255.6887,255.9792,255.8521,258.5036,260.2289,257.2505,257.1415
6292,0,243.0577,244.3834,239.6616,250.1223,255.6887,255.9792,255.8521,258.5036,260.2289,257.2505
6293,1,233.9409,243.0577,244.3834,239.6616,250.1223,255.6887,255.9792,255.8521,258.5036,260.2289
6294,1,237.455,233.9409,243.0577,244.3834,239.6616,250.1223,255.6887,255.9792,255.8521,258.5036
6295,1,240.9419,237.455,233.9409,243.0577,244.3834,239.6616,250.1223,255.6887,255.9792,255.8521
6296,1,241.5412,240.9419,237.455,233.9409,243.0577,244.3834,239.6616,250.1223,255.6887,255.9792
6297,1,244.8011,241.5412,240.9419,237.455,233.9409,243.0577,244.3834,239.6616,250.1223,255.6887
6298,1,247.9248,244.8011,241.5412,240.9419,237.455,233.9409,243.0577,244.3834,239.6616,250.1223
6299,0,247.9975,247.9248,244.8011,241.5412,240.9419,237.455,233.9409,243.0577,244.3834,239.6616
6300,0,246.4447,247.9975,247.9248,244.8011,241.5412,240.9419,237.455,233.9409,243.0577,244.3834
6301,1,245.2188,246.4447,247.9975,247.9248,244.8011,241.5412,240.9419,237.455,233.9409,243.0577
6302,1,245.5367,245.2188,246.4447,247.9975,247.9248,244.8011,241.5412,240.9419,237.455,233.9409
6303,1,249.4504,245.5367,245.2188,246.4447,247.9975,247.9248,244.8011,241.5412,240.9419,237.455
6304,0,252.347,249.4504,245.5367,245.2188,246.4447,247.9975,247.9248,244.8011,241.5412,240.9419
6305,0,249.1961,252.347,249.4504,245.5367,245.2188,246.4447,247.9975,247.9248,244.8011,241.5412
6306,0,246.6717,249.1961,252.347,249.4504,245.5367,245.2188,246.4447,247.9975,247.9248,244.8011
6307,1,243.0849,246.6717,249.1961,252.347,249.4504,245.5367,245.2188,246.4447,247.9975,247.9248
6308,1,244.338,243.0849,246.6717,249.1961,252.347,249.4504,245.5367,245.2188,246.4447,247.9975
6309,1,247.1621,244.338,243.0849,246.6717,249.1961,252.347,249.4504,245.5367,245.2188,246.4447
6310,0,247.7886,247.1621,244.338,243.0849,246.6717,249.1961,252.347,249.4504,245.5367,245.2188
6311,1,247.6978,247.7886,247.1621,244.338,243.0849,246.6717,249.1961,252.347,249.4504,245.5367
6312,1,248.8964,247.6978,247.7886,247.1621,244.338,243.0849,246.6717,249.1961,252.347,249.4504
6313,0,253.2278,248.8964,247.6978,247.7886,247.1621,244.338,243.0849,246.6717,249.1961,252.347
6314,0,252.91,253.2278,248.8964,247.6978,247.7886,247.1621,244.338,243.0849,246.6717,249.1961
6315,0,251.2755,252.91,253.2278,248.8964,247.6978,247.7886,247.1621,244.338,243.0849,246.6717
6316,0,249.9861,251.2755,252.91,253.2278,248.8964,247.6978,247.7886,247.1621,244.338,243.0849
6317,1,249.7137,249.9861,251.2755,252.91,253.2278,248.8964,247.6978,247.7886,247.1621,244.338
6318,0,249.9842,249.7137,249.9861,251.2755,252.91,253.2278,248.8964,247.6978,247.7886,247.1621
6319,1,246.6018,249.9842,249.7137,249.9861,251.2755,252.91,253.2278,248.8964,247.6978,247.7886
6320,0,247.0212,246.6018,249.9842,249.7137,249.9861,251.2755,252.91,253.2278,248.8964,247.6978
6321,0,246.5471,247.0212,246.6018,249.9842,249.7137,249.9861,251.2755,252.91,253.2278,248.8964
6322,0,240.3841,246.5471,247.0212,246.6018,249.9842,249.7137,249.9861,251.2755,252.91,253.2278
6323,1,235.2605,240.3841,246.5471,247.0212,246.6018,249.9842,249.7137,249.9861,251.2755,252.91
