Date,Open,High,Low,Close,"MACD(12,26)",Sig(9)
11/24/2009,85.225,85.3802,84.4649,85.2173,0.8952,0.7842
11/25/2009,85.3555,85.6089,85.0868,85.5167,0.9229,0.812
11/27/2009,83.2287,84.7029,83.1442,84.127,0.8232,0.8142
11/30/2009,84.0579,84.6107,83.0137,84.4111,0.7583,0.803
12/1/2009,85.1635,85.7317,85.0177,85.4553,0.7822,0.7989
12/2/2009,85.4399,86.0004,85.1635,85.4169,0.7889,0.7969
12/3/2009,85.6473,86.131,84.6798,84.7489,0.7319,0.7839
12/4/2009,85.8699,86.2845,84.4879,85.2326,0.7175,0.7706
12/7/2009,85.1559,85.6319,84.8334,85.1021,0.6876,0.754
12/8/2009,84.4879,85.0503,83.8967,84.1577,0.581,0.7194
12/9/2009,84.1347,84.5954,83.7047,84.4733,0.516,0.6787
12/10/2009,84.9946,85.3171,84.8027,84.9486,0.4972,0.6424
12/11/2009,85.3094,85.5014,84.9255,85.3094,0.5055,0.615
12/14/2009,85.893,85.9928,85.509,85.893,0.5528,0.6026
12/15/2009,85.5782,85.9313,85.225,85.4937,0.5518,0.5924
12/16/2009,85.8392,86.0926,85.4323,85.6242,0.5551,0.585
12/17/2009,85.01,85.1712,84.5186,84.5954,0.4692,0.5618
12/18/2009,85.0664,85.1436,84.3563,85.0742,0.4348,0.5364
12/21/2009,85.4987,86.2243,85.4987,85.9387,0.4719,0.5235
12/22/2009,86.124,86.4327,86.012,86.2475,0.5202,0.5228
12/23/2009,86.4559,86.5408,86.0699,86.4173,0.5656,0.5314
12/24/2009,86.6026,86.9191,86.4519,86.8264,0.6275,0.5506
12/28/2009,87.1506,87.2201,86.7029,87.0117,0.6835,0.5772
12/29/2009,87.2355,87.251,86.8805,86.8897,0.7099,0.6037
12/30/2009,86.6334,86.9577,86.5871,86.8573,0.7199,0.627
12/31/2009,87.0503,87.0734,85.985,86.0236,0.653,0.6322
1/4/2010,86.7415,87.5289,86.0777,87.4826,0.7096,0.6477
1/5/2010,87.4285,87.7527,87.112,87.7141,0.7643,0.671
1/6/2010,87.6292,87.992,87.5598,87.7759,0.8033,0.6975
1/7/2010,87.6138,88.2545,87.3668,88.1464,0.8543,0.7288
1/8/2010,87.9148,88.4784,87.7373,88.4398,0.908,0.7647
1/11/2010,88.8334,88.872,88.1812,88.5633,0.9495,0.8016
1/12/2010,87.9766,88.1619,87.3977,87.7373,0.9053,0.8224
1/13/2010,87.9612,88.7254,87.5134,88.4784,0.9195,0.8418
1/14/2010,88.378,88.8798,88.324,88.7177,0.9392,0.8613
1/15/2010,88.5633,88.6482,87.3822,87.7219,0.8645,0.8619
1/19/2010,87.7064,88.872,87.6833,88.818,0.8836,0.8663
1/20/2010,88.2159,88.3471,87.2124,87.9148,0.8164,0.8563
1/21/2010,87.938,88.2082,86.1163,86.2243,0.6197,0.809
1/22/2010,85.8384,86.2565,84.2096,84.3022,0.3051,0.7082
1/25/2010,85.0742,85.2285,84.4566,84.7345,0.0896,0.5845
1/26/2010,84.4026,85.2749,84.171,84.3794,-0.1085,0.4459
1/27/2010,84.2713,84.9738,83.6229,84.7808,-0.2305,0.3106
1/28/2010,85.0587,85.105,83.2987,83.8082,-0.401,0.1683
1/29/2010,84.171,84.7577,82.7661,82.8973,-0.6027,0.0141
2/1/2010,83.484,84.1942,82.9829,84.1864,-0.6511,-0.1189
2/2/2010,84.3408,85.3675,84.0475,85.2054,-0.6002,-0.2152
2/3/2010,84.8194,85.2837,84.5338,84.7808,-0.5874,-0.2896
2/4/2010,84.1247,84.1633,82.1486,82.164,-0.7794,-0.3876
2/5/2010,82.2566,82.5036,80.7282,82.3338,-0.9075,-0.4916
2/8/2010,82.3956,82.851,81.6776,81.7394,-1.0448,-0.6022
2/9/2010,82.6966,83.484,82.0328,82.7661,-1.0586,-0.6935
2/10/2010,82.6349,83.0594,81.9092,82.604,-1.0703,-0.7689
2/11/2010,82.4959,83.5612,82.0173,83.4685,-0.9983,-0.8148
2/12/2010,82.5885,83.4463,82.218,83.3991,-0.9361,-0.839
2/16/2010,84.0321,84.7963,83.6924,84.7113,-0.772,-0.8256
2/17/2010,85.1205,85.2285,84.7113,85.1128,-0.6026,-0.781
2/18/2010,84.9738,85.792,84.9391,85.6145,-0.423,-0.7094
2/19/2010,85.3906,86.124,85.1899,85.792,-0.2632,-0.6202
2/22/2010,86.1085,86.1317,85.5527,85.8075,-0.1339,-0.5229
2/23/2010,85.5759,85.8384,84.5415,84.7654,-0.1141,-0.4412
2/24/2010,85.0201,85.684,84.804,85.545,-0.0352,-0.36
2/25/2010,84.3254,85.491,84.0938,85.4292,0.0178,-0.2844
2/26/2010,85.5064,85.7766,84.997,85.4833,0.0635,-0.2148
3/1/2010,85.8384,86.4559,85.8152,86.371,0.1694,-0.138
3/2/2010,86.7415,87.0271,86.4559,86.6103,0.2695,-0.0565
3/3/2010,86.8342,87.2047,86.4713,86.6875,0.351,0.025
